accident_index,year,location_easting_osgr,location_northing_osgr,longitude,latitude,urban_or_rural_area,lad2014_code,lad2014_name,road_class,road_classcat,cas_severity,cas_mode
200504TA05029,2005,384570,436800,-2.235908031463623,53.82723236083984,1,E07000126,South Ribble,Motorway,Motorway,Serious,car/taxi
200640D026270,2006,507020,220860,-.4467709958553314,51.87600326538086,2,E06000056,Central Bedfordshire,Motorway,Motorway,Serious,car/taxi
201143R184011,2011,502510,178180,-.5247849822044373,51.49322891235352,2,E06000039,Slough,Motorway,Motorway,Serious,car/taxi
20064100T3205,2006,526750,200350,-.1677889972925186,51.68755722045898,2,E07000098,Hertsmere,Motorway,Motorway,Serious,car/taxi
2011546825711,2011,402000,182860,-1.972568988800049,51.54458236694336,2,E06000054,Wiltshire,Motorway,Motorway,Serious,car/taxi
200643R016126,2006,486980,177420,-.7486140131950378,51.48899459838867,2,E06000040,Windsor and Maidenhead,Motorway,Motorway,Serious,car/taxi
2007460141660,2007,570850,158860,.4495579898357391,51.30316162109375,1,E07000115,Tonbridge and Malling,Motorway,Motorway,Serious,car/taxi
2006130096606,2006,451770,422240,-1.217434048652649,53.69403839111328,2,E08000036,Wakefield,Motorway,Motorway,Serious,car/taxi
2017010025188,2017,558300,184570,.281155,51.53784,2,E09000016,Havering,Motorway,Motorway,Serious,light goods
2017420206296,2017,547249,199945,.128384,51.678977,2,E07000072,Epping Forest,Motorway,Motorway,Serious,car/taxi
200601YE80607,2006,535460,200030,-.0419859997928143,51.68265151977539,2,E09000010,Enfield,Motorway,Motorway,Serious,car/taxi
200922D902883,2009,402160,273310,-1.969719052314758,52.35781478881836,2,E07000234,Bromsgrove,Motorway,Motorway,Fatal,motorcycle
200643R016126,2006,486980,177420,-.7486140131950378,51.48899459838867,2,E06000040,Windsor and Maidenhead,Motorway,Motorway,Serious,car/taxi
201220Z001072,2012,419850,283270,-1.70937705039978,52.44700241088867,2,E08000029,Solihull,Motorway,Motorway,Serious,car/taxi
200614G019806,2006,437630,393740,-1.434991955757141,53.4390869140625,2,E08000019,Sheffield,Motorway,Motorway,Fatal,car/taxi
200643N304076,2006,483870,190870,-.7901939749717712,51.61037445068359,2,E07000007,Wycombe,Motorway,Motorway,Serious,car/taxi
200643P240096,2006,454710,222320,-1.206315994262695,51.89670562744141,2,E07000177,Cherwell,Motorway,Motorway,Serious,heavy goods
2007460140656,2007,568190,159690,.4118269979953766,51.31140899658203,2,E07000115,Tonbridge and Malling,Motorway,Motorway,Serious,heavy goods
